pivo,massa,n,M,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias,repeticoes
meio,aleatorio,1000,1,0.0389045,0.04663313,0.03514,0.0139516182838,0.004729494,13318.51,2597,200
meio,ordenado,1000,1,0.00509,0.006806895,0.005079,0.00222066815378,1.4826e-05,9009,511,200
meio,repetidos,1000,1,0.02008,0.02055018,0.01352,0.00222316017041,0.0006011943,10437.51,3835.995,200
meio,aleatorio,1000,2,0.0365795,0.037765955,0.02139,0.00324355858502,0.0008814057,13318.51,2597,200
meio,ordenado,1000,2,0.0051045,0.00520901,0.00507,0.000856645532142,2.14977e-05,9009,511,200
meio,repetidos,1000,2,0.020255,0.020267185,0.01358,0.000903225732803,0.0004959297,10437.51,3835.995,200
meio,aleatorio,1000,3,0.0357295,0.038310705,0.03201,0.00649878706874,0.0008443407,12893.73,2431.99,200
meio,ordenado,1000,3,0.00501,0.00509241,0.004999,0.000861154846849,1.4826e-05,8963,488,200
meio,repetidos,1000,3,0.01951,0.019544995,0.01302,0.00124191763092,0.0005322534,10202.67,3603.735,200
meio,aleatorio,1000,4,0.034679,0.03502477,0.01993,0.00218958067785,0.0006019356,12690.385,2415.505,200
meio,ordenado,1000,4,0.00572,0.005770455,0.005709,0.000448535347285,1.4826e-05,8497,255,200
meio,repetidos,1000,4,0.01885,0.019475545,0.01763,0.00260365869518,0.000607866,9946.98,3351.23,200
meio,aleatorio,1000,5,0.0371495,0.037369955,0.01849,0.00409083628375,0.0053158623,12495.775,2457.845,200
meio,ordenado,1000,5,0.00461,0.00461591,0.004599,5.54706849103e-05,0,8497,255,200
meio,repetidos,1000,5,0.0187495,0.018768255,0.01214,0.000868027394593,0.0004588647,9739.25,3215.28,200
meio,aleatorio,1000,6,0.03295,0.03477188,0.01772,0.00421363400084,0.000874734,12342.55,2531.455,200
meio,ordenado,1000,6,0.00563,0.00554037,0.004599,0.00104775495481,0.000103782,8497,255,200
meio,repetidos,1000,6,0.018135,0.01955879,0.01271,0.00287962387548,0.000904386,9556.425,3081.675,200
meio,aleatorio,1000,8,0.03889,0.037254805,0.01723,0.00555283044372,0.003758391,12159.38,2733.695,200
meio,ordenado,1000,8,0.00388,0.00389372,0.003869,3.71820402964e-05,0,7752,127,200
meio,repetidos,1000,8,0.01794,0.019676195,0.01291,0.00283076163499,0.001823598,9215.415,2874.39,200
meio,aleatorio,1000,10,0.0308,0.03320109,0.020469,0.0041343879949,0.0017576223,12083.355,2971.305,200
meio,ordenado,1000,10,0.00388,0.00390912,0.003869,0.00031493072637,1.4826e-05,7752,127,200
meio,repetidos,1000,10,0.0175,0.01763066,0.01056,0.00117855383846,0.000422541,8970.14,2737.855,200
meio,aleatorio,1000,12,0.02964,0.02978467,0.01572,0.0016307288259,0.00051891,12076.745,3228.05,200
meio,ordenado,1000,12,0.00395,0.003945615,0.00391,5.2170061834e-05,1.4826e-05,7752,127,200
meio,repetidos,1000,12,0.01696,0.016948325,0.01032,0.000862227231284,0.0004736907,8769.325,2634.215,200
meio,aleatorio,1000,15,0.0286745,0.029105775,0.01493,0.00200929947901,0.000696822,12159.625,3634.09,200
meio,ordenado,1000,15,0.00383,0.003868615,0.0038,0.000425546904128,1.4826e-05,7453,104,200
meio,repetidos,1000,15,0.01654,0.01656947,0.00968,0.000814468133695,0.00051891,8493.06,2502.95,200
meio,aleatorio,1000,20,0.02736,0.027566185,0.01455,0.00201518862311,0.0004974123,12458.07,4364.06,200
meio,ordenado,1000,20,0.003565,0.00359807,0.00353,0.000448122050294,3.7065e-05,6879,63,200
meio,repetidos,1000,20,0.016089,0.016081525,0.00932,0.000794942366594,0.0004610886,8194.955,2386.08,200
meio,aleatorio,1000,25,0.02653,0.026576635,0.0144,0.00131495751189,0.0005552337,12876.94,5121.705,200
meio,ordenado,1000,25,0.00358,0.003604065,0.003539,0.000327654387677,1.4826e-05,6879,63,200
meio,repetidos,1000,25,0.01588,0.01587012,0.009359,0.000951354240044,0.000489258,8001.185,2336.49,200
meio,aleatorio,1000,30,0.02599,0.02606175,0.01441,0.00123357585272,0.0005329947,13358.455,5887.03,200
meio,ordenado,1000,30,0.00359,0.00362387,0.00353,0.000617027933284,1.4826e-05,6879,63,200
meio,repetidos,1000,30,0.015545,0.01556094,0.00878,0.000828222002137,0.0004825863,7854.145,2325.73,200
meio,aleatorio,1000,40,0.025495,0.025540245,0.014809,0.00137642550866,0.000496671,14438.265,7412.87,200
meio,ordenado,1000,40,0.00312,0.003126975,0.003109,4.64452384629e-05,1.4826e-05,5942,31,200
meio,repetidos,1000,40,0.0151595,0.015193525,0.008759,0.000828331979775,0.0004529343,7800.65,2497.89,200
meio,aleatorio,1000,50,0.025285,0.025326355,0.01541,0.0010223706361,0.000511497,15710.165,9043.435,200
meio,ordenado,1000,50,0.00313,0.003159925,0.00311,0.000336096449687,0,5942,31,200
meio,repetidos,1000,50,0.015155,0.01513588,0.01075,0.000780477914148,0.000511497,7893.525,2743.59,200
meio,aleatorio,1000,70,0.0257895,0.02587354,0.01697,0.00126661908161,0.00051891,18333.87,12193.195,200
