algoritmo,M,pivo,massa,n,repeticao,tempo_ms,comparacoes,trocas
quicksort_recursivo,1,meio,aleatorio,1000,0,0.02538,12531,2631
quicksort_recursivo,1,meio,aleatorio,1000,1,0.03983,12763,2613
quicksort_recursivo,1,meio,aleatorio,1000,2,0.037679,14014,2573
quicksort_recursivo,1,meio,aleatorio,1000,3,0.03745,14131,2558
quicksort_recursivo,1,meio,aleatorio,1000,4,0.03686,13922,2550
quicksort_recursivo,1,meio,aleatorio,1000,5,0.037489,12575,2646
quicksort_recursivo,1,meio,aleatorio,1000,6,0.037259,12434,2625
quicksort_recursivo,1,meio,aleatorio,1000,7,0.03747,13154,2620
quicksort_recursivo,1,meio,aleatorio,1000,8,0.03716,14160,2606
quicksort_recursivo,1,meio,aleatorio,1000,9,0.036929,14058,2596
quicksort_recursivo,1,meio,aleatorio,1000,10,0.04175,12664,2618
quicksort_recursivo,1,meio,aleatorio,1000,11,0.03696,12977,2598
quicksort_recursivo,1,meio,aleatorio,1000,12,0.036409,13062,2615
quicksort_recursivo,1,meio,aleatorio,1000,13,0.03751,12515,2659
quicksort_recursivo,1,meio,aleatorio,1000,14,0.03812,12304,2659
quicksort_recursivo,1,meio,aleatorio,1000,15,0.036709,13493,2616
quicksort_recursivo,1,meio,aleatorio,1000,16,0.03725,14496,2596
quicksort_recursivo,1,meio,aleatorio,1000,17,0.03646,13484,2600
quicksort_recursivo,1,meio,aleatorio,1000,18,0.036639,13182,2609
quicksort_recursivo,1,meio,aleatorio,1000,19,0.03714,13642,2616
quicksort_recursivo,1,meio,aleatorio,1000,20,0.03649,13508,2599
quicksort_recursivo,1,meio,aleatorio,1000,21,0.036589,12954,2604
quicksort_recursivo,1,meio,aleatorio,1000,22,0.03725,13765,2585
quicksort_recursivo,1,meio,aleatorio,1000,23,0.03587,13893,2527
quicksort_recursivo,1,meio,aleatorio,1000,24,0.036039,13643,2558
quicksort_recursivo,1,meio,aleatorio,1000,25,0.03634,14121,2556
quicksort_recursivo,1,meio,aleatorio,1000,26,0.0364,12992,2583
quicksort_recursivo,1,meio,aleatorio,1000,27,0.036619,13104,2631
quicksort_recursivo,1,meio,aleatorio,1000,28,0.03756,13132,2667
quicksort_recursivo,1,meio,aleatorio,1000,29,0.0361,14256,2552
quicksort_recursivo,1,meio,aleatorio,1000,30,0.036839,13235,2583
quicksort_recursivo,1,meio,aleatorio,1000,31,0.03707,12626,2650
quicksort_recursivo,1,meio,aleatorio,1000,32,0.03701,12732,2624
quicksort_recursivo,1,meio,aleatorio,1000,33,0.037019,13194,2590
quicksort_recursivo,1,meio,aleatorio,1000,34,0.03633,14635,2526
quicksort_recursivo,1,meio,aleatorio,1000,35,0.03702,12964,2583
quicksort_recursivo,1,meio,aleatorio,1000,36,0.03718,13662,2602
quicksort_recursivo,1,meio,aleatorio,1000,37,0.03612,12892,2573
quicksort_recursivo,1,meio,aleatorio,1000,38,0.037979,12617,2655
quicksort_recursivo,1,meio,aleatorio,1000,39,0.03676,13454,2589
quicksort_recursivo,1,meio,aleatorio,1000,40,0.03682,12427,2621
quicksort_recursivo,1,meio,aleatorio,1000,41,0.037879,13427,2609
quicksort_recursivo,1,meio,aleatorio,1000,42,0.03726,13033,2611
quicksort_recursivo,1,meio,aleatorio,1000,43,0.03649,13806,2565
quicksort_recursivo,1,meio,aleatorio,1000,44,0.037259,13043,2631
quicksort_recursivo,1,meio,aleatorio,1000,45,0.03749,12911,2601
quicksort_recursivo,1,meio,aleatorio,1000,46,0.03657,14058,2512
quicksort_recursivo,1,meio,aleatorio,1000,47,0.03668,12536,2636
quicksort_recursivo,1,meio,aleatorio,1000,48,0.03646,13476,2613
quicksort_recursivo,1,meio,aleatorio,1000,49,0.03661,14507,2562
quicksort_hibrido,40,meio,aleatorio,1000,0,0.016139,13948,7845
quicksort_hibrido,40,meio,aleatorio,1000,1,0.02173,14069,7549
quicksort_hibrido,40,meio,aleatorio,1000,2,0.02191,14552,6751
quicksort_hibrido,40,meio,aleatorio,1000,3,0.021569,15211,7455
quicksort_hibrido,40,meio,aleatorio,1000,4,0.02134,14840,7036
quicksort_hibrido,40,meio,aleatorio,1000,5,0.02142,13763,7886
quicksort_hibrido,40,meio,aleatorio,1000,6,0.02139,13423,7079
quicksort_hibrido,40,meio,aleatorio,1000,7,0.02164,14479,7588
quicksort_hibrido,40,meio,aleatorio,1000,8,0.02117,14583,6790
quicksort_hibrido,40,meio,aleatorio,1000,9,0.02143,15390,7568
quicksort_hibrido,40,meio,aleatorio,1000,10,0.0213,13819,7133
quicksort_hibrido,40,meio,aleatorio,1000,11,0.02122,14102,7365
quicksort_hibrido,40,meio,aleatorio,1000,12,0.02141,14288,7500
