algoritmo,M,pivo,massa,n,repeticoes,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias
quicksort_recursivo,1,meio,aleatorio,1000,50,0.0369445,0.0368511,0.02538,0.00190280595437,0.0006145377,13323.28,2600.04
quicksort_hibrido,40,meio,aleatorio,1000,50,0.021155,0.0210285,0.016139,0.000765648884467,0.000289107,14435.44,7414.08
quicksort_mediana3,40,mediana3,aleatorio,1000,50,0.02567,0.02572054,0.01948,0.00256776150595,0.0009629487,14108.56,7829.08
quicksort_recursivo,1,meio,aleatorio,10000,10,0.4594615,0.4589046,0.453547,0.0041222812778,0.0020897247,180021.5,33586.2
quicksort_hibrido,40,meio,aleatorio,10000,10,0.3406825,0.3408733,0.333938,0.00402362282996,0.00400302,191361.8,82044.4
quicksort_mediana3,40,mediana3,aleatorio,10000,10,0.348457,0.3484531,0.340037,0.00573431124315,0.007813302,180820.1,85021.9
quicksort_recursivo,1,meio,aleatorio,100000,5,5.435277,5.4212492,5.358738,0.0382180037966,0.028376964,2238090.2,412988.4
quicksort_hibrido,40,meio,aleatorio,100000,5,4.337936,4.32728,4.271026,0.0417123019024,0.055923672,2351171,897439.6
quicksort_mediana3,40,mediana3,aleatorio,100000,5,4.386835,4.3830232,4.343576,0.0352549875365,0.047013246,2242553,923525.4
quicksort_recursivo,1,meio,aleatorio,500000,3,30.016183,30.0042833333,29.847835,0.150850919959,0.1966654074,13041446.3333,2332566.33333
quicksort_hibrido,40,meio,aleatorio,500000,3,24.586166,24.589393,24.475197,0.115843214894,0.1645226394,13610714,4754782.33333
quicksort_mediana3,40,mediana3,aleatorio,500000,3,24.914564,25.0151593333,24.760625,0.317036455381,0.2282299614,12386071,4911093
quicksort_recursivo,1,meio,ordenado,1000,50,0.00505,0.00505234,0.005039,3.74790335946e-05,0,9009,511
quicksort_hibrido,40,meio,ordenado,1000,50,0.00315,0.00314878,0.00313,5.20317799277e-06,0,5942,31
quicksort_mediana3,40,mediana3,ordenado,1000,50,0.0032,0.00320198,0.00319,5.35472326311e-06,0,6004,31
quicksort_recursivo,1,meio,ordenado,10000,10,0.0643295,0.0651075,0.064299,0.00238502789408,2.9652e-05,125439,5904
quicksort_hibrido,40,meio,ordenado,10000,10,0.0411545,0.0417466,0.04114,0.00185997097946,8.1543e-06,89497,255
quicksort_mediana3,40,mediana3,ordenado,10000,10,0.041419,0.0420598,0.0414,0.00202748233586,1.33434e-05,90007,255
quicksort_recursivo,1,meio,ordenado,100000,5,0.804824,0.8066254,0.802573,0.00430942725893,0.0033373326,1600016,65535
quicksort_hibrido,40,meio,ordenado,100000,5,0.562146,0.5620972,0.561145,0.000859647718545,0.0008762166,1291821,4095
quicksort_mediana3,40,mediana3,ordenado,100000,5,0.559396,0.559388,0.559246,0.000122759928315,0.00014826,1300011,4095
quicksort_recursivo,1,meio,ordenado,500000,3,4.104478,4.10050466667,4.084648,0.0142904665191,0.011727366,9000018,262143
quicksort_hibrido,40,meio,ordenado,500000,3,3.141125,3.14043866667,3.136586,0.00355947753657,0.003676848,7467247,16383
quicksort_mediana3,40,mediana3,ordenado,500000,3,3.132115,3.13299533333,3.131335,0.00223457833457,0.001156428,7500013,16383
quicksort_recursivo,1,meio,inverso,1000,50,0.00563,0.0056908,0.00561,0.000432061220152,1.4826e-05,9016,1010
quicksort_hibrido,40,meio,inverso,1000,50,0.00369,0.0037465,0.00368,0.000390176634516,0,5946,530
quicksort_mediana3,40,mediana3,inverso,1000,50,0.00374,0.003802,0.00373,0.000339909952061,0,6009,530
quicksort_recursivo,1,meio,inverso,10000,10,0.0711945,0.0717644,0.071169,0.00178343278227,2.29803e-05,125452,10904
quicksort_hibrido,40,meio,inverso,10000,10,0.04787,0.0478708,0.047849,1.74979363863e-05,2.29803e-05,89504,5254
quicksort_mediana3,40,mediana3,inverso,10000,10,0.04818,0.0481856,0.048169,2.08976341032e-05,1.4826e-06,90015,5254
quicksort_recursivo,1,meio,inverso,100000,5,0.860783,0.863175,0.856263,0.00832829934621,0.004136454,1600030,115534
quicksort_hibrido,40,meio,inverso,100000,5,0.618436,0.6174032,0.615385,0.00167819432725,0.0004284714,1291832,54094
quicksort_mediana3,40,mediana3,inverso,100000,5,0.617625,0.6171592,0.614285,0.00266435230403,0.004032672,1300023,54094
quicksort_recursivo,1,meio,inverso,500000,3,4.370556,4.369589,4.362695,0.0064649692188,0.007353696,9000034,512142
quicksort_hibrido,40,meio,inverso,500000,3,3.404363,3.40514633333,3.400043,0.00553671683702,0.006404832,7467260,266382
quicksort_mediana3,40,mediana3,inverso,500000,3,3.433773,3.46509633333,3.421053,0.0655785821235,0.018858672,7500027,266382
quicksort_recursivo,1,meio,repetidos,1000,50,0.020335,0.02181886,0.01324,0.0110293963626,0.000415128,10427.14,3840.02
quicksort_hibrido,40,meio,repetidos,1000,50,0.0094295,0.00937168,0.00754,0.000340875968825,0.000289107,7805.58,2523.98
quicksort_mediana3,40,mediana3,repetidos,1000,50,0.015655,0.01463788,0.00777,0.0021156207237,0.000882147,7570.92,2571.28
quicksort_recursivo,1,meio,repetidos,10000,10,0.221203,0.2214154,0.215749,0.00359302868838,0.0035145033,135619.4,54817.8
quicksort_hibrido,40,meio,repetidos,10000,10,0.1633685,0.1638855,0.160929,0.00281047371452,0.003321024,102242.6,33790.8
quicksort_mediana3,40,mediana3,repetidos,10000,10,0.178989,0.1768917,0.164479,0.00753267438195,0.007034937,101570.5,34211
quicksort_recursivo,1,meio,repetidos,100000,5,2.466691,2.4639046,2.425771,0.0275716585337,0.025930674,1687012.6,712530.2
quicksort_hibrido,40,meio,repetidos,100000,5,2.010524,2.00751,1.975564,0.0200473484531,0.002579724,1357196.4,500738.2
quicksort_mediana3,40,mediana3,repetidos,100000,5,2.004184,2.0158942,1.990385,0.0279766365956,0.0204583974,1353863.2,501874.2
quicksort_recursivo,1,meio,repetidos,500000,3,13.117167,13.0142343333,12.681361,0.295188499182,0.1883020608,9776488.33333,4131089
quicksort_hibrido,40,meio,repetidos,500000,3,10.824515,10.7099623333,10.426948,0.246575302341,0.0799254834,8124660.33333,3068952
quicksort_mediana3,40,mediana3,repetidos,500000,3,11.023243,10.9974896667,10.741115,0.244517282901,0.3037372968,7880701,3070614.33333
quicksort_recursivo,1,meio,quase_ordenado,1000,50,0.005625,0.00565478,0.00533,0.000232027381389,0.000126021,9029.56,533.44
quicksort_hibrido,40,meio,quase_ordenado,1000,50,0.003505,0.00364016,0.00328,0.000933060585123,9.6369e-05,5989.06,78.9
quicksort_mediana3,40,mediana3,quase_ordenado,1000,50,0.00352,0.00358196,0.0033,0.000202273300668,8.8956e-05,6112.08,81.34
quicksort_recursivo,1,meio,quase_ordenado,10000,10,0.0721995,0.0725824,0.07075,0.00186026546493,0.000896973,125767.1,6251.5
quicksort_hibrido,40,meio,quase_ordenado,10000,10,0.047655,0.0483396,0.04658,0.0023386169322,0.0005055666,90777.8,1159
quicksort_mediana3,40,mediana3,quase_ordenado,10000,10,0.0478645,0.0480156,0.04738,0.000550239382249,0.0004825863,91981.1,1139.7
quicksort_recursivo,1,meio,quase_ordenado,100000,5,0.904173,0.908147,0.894933,0.0135575359118,0.012424188,1607417.6,70047.2
quicksort_hibrido,40,meio,quase_ordenado,100000,5,0.649985,0.7019086,0.642395,0.0822377610304,0.011252934,1302115.2,12210
quicksort_mediana3,40,mediana3,quase_ordenado,100000,5,0.650985,0.6655308,0.650255,0.0204444762271,0.001082298,1316461.2,12367.2
quicksort_recursivo,1,meio,quase_ordenado,500000,3,4.697642,4.738079,4.685663,0.0806358097684,0.0177600654,9043946.33333,300847
quicksort_hibrido,40,meio,quase_ordenado,500000,3,3.667711,3.7699,3.657661,0.185768070488,0.01490013,7527612.66667,69365.6666667
quicksort_mediana3,40,mediana3,quase_ordenado,500000,3,3.688221,3.69226433333,3.672931,0.0216401809912,0.022668954,7599188.66667,69628.3333333
