algoritmo,M,pivo,massa,n,repeticoes,tempo_mediana_ms,tempo_medio_ms,tempo_min_ms,tempo_desvio_ms,tempo_mad_ms,comparacoes_medias,trocas_medias,comparacoes_sobre_n2
quicksort_pivo_primeiro,1,primeiro,ordenado,1000,5,0.137519,0.1385208,0.137359,0.00228231268673,0.0002060814,501498,999,0.501498
quicksort_recursivo,1,meio,ordenado,1000,5,0.00505,0.005108,0.00504,0.000135535973085,1.4826e-05,9009,511,0.009009
quicksort_mediana3,40,mediana3,ordenado,1000,5,0.00314,0.0031378,0.003129,8.61394218694e-06,1.4826e-05,6004,31,0.006004
quicksort_pivo_primeiro,1,primeiro,ordenado,2000,5,0.524596,0.526634,0.521976,0.00558917883056,0.003884412,2002998,1999,0.5007495
quicksort_recursivo,1,meio,ordenado,2000,5,0.01077,0.010766,0.01075,8.94427191e-06,0,20010,1023,0.0050025
quicksort_mediana3,40,mediana3,ordenado,2000,5,0.00695,0.006952,0.00695,4.472135955e-06,0,14005,63,0.00350125
quicksort_pivo_primeiro,1,primeiro,ordenado,5000,5,3.172135,3.2046206,3.166305,0.077158160144,0.003869586,12507498,4999,0.50029992
quicksort_recursivo,1,meio,ordenado,5000,5,0.031689,0.0380016,0.03068,0.0105246036647,0.0014959434,57726,2952,0.00230904
quicksort_mediana3,40,mediana3,ordenado,5000,5,0.01897,0.0189918,0.01896,5.50563347854e-05,1.4826e-06,40006,127,0.00160024
quicksort_pivo_primeiro,1,primeiro,ordenado,10000,5,12.679091,12.7453516,12.537661,0.234519442914,0.0566027028,50014998,9999,0.50014998
quicksort_recursivo,1,meio,ordenado,10000,5,0.065049,0.0650134,0.064859,0.000146513821874,0.000163086,125439,5904,0.00125439
quicksort_mediana3,40,mediana3,ordenado,10000,5,0.041809,0.0423758,0.04151,0.00156008435669,0.0004284714,90007,255,0.00090007
quicksort_pivo_primeiro,1,primeiro,ordenado,20000,5,50.656501,50.6319088,50.181284,0.279283140207,0.1701268674,200029998,19999,0.500074995
quicksort_recursivo,1,meio,ordenado,20000,5,0.138269,0.139425,0.138089,0.00256878959823,0.000266868,270864,11808,0.00067716
quicksort_mediana3,40,mediana3,ordenado,20000,5,0.091069,0.0911574,0.09103,0.000214376537895,2.9652e-05,200008,511,0.00050002
quicksort_pivo_primeiro,1,primeiro,ordenado,50000,5,309.115244,309.0063984,308.675686,0.307489883655,0.3574667208,1250074998,49999,0.5000299992
quicksort_recursivo,1,meio,ordenado,50000,5,0.377747,0.379583,0.377447,0.00281455680348,0.00044478,750015,32767,0.000300006
quicksort_mediana3,40,mediana3,ordenado,50000,5,0.260767,0.2624498,0.260638,0.00241903104569,0.0001912554,600010,2047,0.000240004
quicksort_pivo_primeiro,1,primeiro,inverso,1000,5,0.183249,0.1839966,0.183188,0.00163620545776,9.04386e-05,501996,999,0.501996
quicksort_recursivo,1,meio,inverso,1000,5,0.0057,0.005706,0.00569,1.94935886896e-05,0,9016,1010,0.009016
quicksort_mediana3,40,mediana3,inverso,1000,5,0.00368,0.003682,0.00368,4.472135955e-06,0,6009,530,0.006009
quicksort_pivo_primeiro,1,primeiro,inverso,2000,5,0.718765,0.7182164,0.713664,0.00276081750574,0.002357334,2003996,1999,0.500999
quicksort_recursivo,1,meio,inverso,2000,5,0.01185,0.011854,0.01184,1.51657508881e-05,0,20018,2022,0.0050045
quicksort_mediana3,40,mediana3,inverso,2000,5,0.00806,0.00806,0.00805,7.07106781187e-06,0,14011,1062,0.00350275
quicksort_pivo_primeiro,1,primeiro,inverso,5000,5,4.401445,4.3977592,4.387415,0.00666881572695,0.0027591186,12509996,4999,0.50039984
quicksort_recursivo,1,meio,inverso,5000,5,0.033259,0.0332738,0.03325,4.28625710848e-05,1.33434e-05,57738,5452,0.00230952
quicksort_mediana3,40,mediana3,inverso,5000,5,0.02167,0.021672,0.02166,8.36660026534e-06,1.4826e-05,40013,2626,0.00160052
quicksort_pivo_primeiro,1,primeiro,inverso,10000,5,17.488982,17.4763602,17.449622,0.0202502325098,0.0055612326,50019996,9999,0.50019996
quicksort_recursivo,1,meio,inverso,10000,5,0.070069,0.0709574,0.07003,0.00178918900623,5.78214e-05,125452,10904,0.00125452
quicksort_mediana3,40,mediana3,inverso,10000,5,0.046779,0.0468756,0.04676,0.000182294541882,2.81694e-05,90015,5254,0.00090015
quicksort_pivo_primeiro,1,primeiro,inverso,20000,5,70.842812,70.9558808,70.336446,0.611566345901,0.3529759254,200039996,19999,0.50009999
quicksort_recursivo,1,meio,inverso,20000,5,0.147999,0.1487628,0.147659,0.00181320771011,0.0002653854,270878,21808,0.000677195
quicksort_mediana3,40,mediana3,inverso,20000,5,0.100779,0.1019192,0.100729,0.0023679654136,7.413e-05,200017,10510,0.0005000425
quicksort_pivo_primeiro,1,primeiro,inverso,50000,5,441.54554,442.0789394,440.901685,1.09462145443,0.954579423,1250099996,49999,0.5000399984
quicksort_recursivo,1,meio,inverso,50000,5,0.412376,0.4133686,0.408477,0.00404117400021,0.00318759,750028,57766,0.0003000112
quicksort_mediana3,40,mediana3,inverso,50000,5,0.292487,0.2938614,0.290018,0.00449337804998,0.0036605394,600021,27046,0.0002400084
